# 台積電每月營收公布日, 來源: 公開資訊觀測站重大訊息 (co_id=2330). 時間用 13:30 (使用者規則), source 欄是 MOPS 申報時間.
datetime,name,tier,tz,source
2025-08-08 13:30,TSMC_REV,normal,TW,台積公司2025年7月營收報告 MOPS 13:55
2025-09-10 13:30,TSMC_REV,normal,TW,台積公司2025年8月營收報告 MOPS 13:57
2025-10-09 13:30,TSMC_REV,normal,TW,台積公司2025年9月營收報告 MOPS 14:01
2025-11-10 13:30,TSMC_REV,normal,TW,台積公司2025年10月營收報告 MOPS 14:04
2025-12-10 13:30,TSMC_REV,normal,TW,台積公司2025年11月營收報告 MOPS 13:50
2026-01-09 13:30,TSMC_REV,normal,TW,台積公司2025年12月營收報告 MOPS 13:51
2026-02-10 13:30,TSMC_REV,normal,TW,台積公司2026年1月營收報告 MOPS 13:46
2026-03-10 13:30,TSMC_REV,normal,TW,台積公司2026年2月營收報告 MOPS 14:06
2026-04-10 13:30,TSMC_REV,normal,TW,台積公司2026年3月營收報告 MOPS 13:50
2026-05-08 13:30,TSMC_REV,normal,TW,台積公司2026年4月營收報告 MOPS 14:10
2026-06-10 13:30,TSMC_REV,normal,TW,台積公司2026年5月營收報告 MOPS 13:52
2026-07-13 13:30,TSMC_REV,normal,TW,台積公司2026年6月營收報告 MOPS 13:50
2026-08-10 13:30,TSMC_REV,normal,TW,台積公司2026年7月營收報告 MOPS 13:51
2026-09-10 13:30,TSMC_REV,normal,TW,台積公司2026年8月營收報告 MOPS 13:51
